MDEM ID,Event Name,Average,Age (Integer)
MDEM052,Year-1 Session 1,18.46666667,6
MDEM052,Year-1 Session 2,,
MDEM053,Year-1 Session 1,15.69666667,6
MDEM053,Year-1 Session 2,,
MDEM054,Year-1 Session 1,12.49666667,4
MDEM054,Year-1 Session 2,,
MDEM055,Year-1 Session 1,19.63,6
MDEM055,Year-1 Session 2,,
MDEM057,Year-1 Session 1,17.565,6
MDEM057,Year-1 Session 2,,
MDEM058,Year-1 Session 1,18.80666667,6
MDEM058,Year-1 Session 2,,
MDEM059,Year-1 Session 1,14.8,6
MDEM059,Year-1 Session 2,,
MDEM060,Year-1 Session 1,11.455,4
MDEM060,Year-1 Session 2,,
MDEM061,Year-1 Session 1,17.39,7
MDEM061,Year-1 Session 2,,
MDEM062,Year-1 Session 1,19.07166667,6
MDEM062,Year-1 Session 2,,
MDEM063,Year-1 Session 1,14.60666667,5
MDEM063,Year-1 Session 2,,
MDEM064,Year-1 Session 1,15.19833333,6
MDEM064,Year-1 Session 2,,
MDEM065,Year-1 Session 1,16.26833333,5
MDEM065,Year-1 Session 2,,
MDEM066,Year-1 Session 1,17.61333333,7
MDEM066,Year-1 Session 2,,
MDEM067,Year-1 Session 1,17.43666667,7
MDEM067,Year-1 Session 2,,
MDEM068,Year-1 Session 1,16.44,7
MDEM068,Year-1 Session 2,,
MDEM069,Year-1 Session 1,15.3,4
MDEM069,Year-1 Session 2,,
MDEM070,Year-1 Session 1,14.185,5
MDEM070,Year-1 Session 2,,
MDEM071,Year-1 Session 1,14.57,5
MDEM071,Year-1 Session 2,,
MDEM072,Year-1 Session 1,18.10166667,5
MDEM072,Year-1 Session 2,,
MDEM075,Year-1 Session 1,17.85833333,7
MDEM075,Year-1 Session 2,,
MDEM076,Year-1 Session 1,17.225,4
MDEM076,Year-1 Session 2,,
MDEM077,Year-1 Session 1,14.77833333,6
MDEM077,Year-1 Session 2,,
MDEM078,Year-1 Session 1,16.92166667,7
MDEM078,Year-1 Session 2,,
MDEM081,Year-1 Session 1,16.505,5
MDEM081,Year-1 Session 2,,
MDEM082,Year-1 Session 1,14.03,4
MDEM082,Year-1 Session 2,,
MDEM083,Year-1 Session 1,15.72833333,5
MDEM083,Year-1 Session 2,,
MDEM085,Year-1 Session 1,16.185,7
MDEM085,Year-1 Session 2,,
MDEM086,Year-1 Session 1,15.35166667,6
MDEM086,Year-1 Session 2,,
MDEM087,Year-1 Session 1,17.35333333,5
MDEM087,Year-1 Session 2,,
MDEM088,Year-1 Session 1,16.82333333,7
MDEM088,Year-1 Session 2,,
MDEM095,Year-1 Session 1,18.825,4
MDEM095,Year-1 Session 2,,
MDEM098,Year-1 Session 1,17.10666667,6
MDEM098,Year-1 Session 2,,
MDEM105,Year-1 Session 1,17.675,4
MDEM105,Year-1 Session 2,,
